"date","Fictional.New","Fictional.Consultant.Follow.Up.Intervention","Fictional.Consultant.Follow.Up.Non.Intervention","Fictional.Nurse.Follow.Up","Surgery","New.Referral.Received"
"01/01/2026",53.35,30,6.86,14.55,9.7,50
"01/02/2026",53.35,12.125,24.735,14.55,9.7,50
"01/03/2026",53.35,12.125,24.735,14.55,9.7,50
"01/04/2026",53.35,12.125,24.735,14.55,9.7,50
"01/05/2026",53.35,12.125,24.735,14.55,9.7,50
"01/06/2026",53.35,12.125,24.735,14.55,9.7,50
"01/07/2026",53.35,12.125,24.735,14.55,9.7,50
"01/08/2026",53.35,12.125,24.735,14.55,9.7,50
"01/09/2026",53.35,12.125,24.735,14.55,9.7,50
"01/10/2026",53.35,12.125,24.735,14.55,9.7,50
"01/11/2026",53.35,12.125,24.735,14.55,9.7,50
"01/12/2026",53.35,12.125,24.735,14.55,9.7,50
"01/01/2027",53.35,12.125,24.735,14.55,9.7,50
"01/02/2027",53.35,12.125,24.735,14.55,9.7,50
"01/03/2027",53.35,12.125,24.735,14.55,9.7,50
"01/04/2027",53.35,12.125,24.735,14.55,9.7,50
"01/05/2027",53.35,12.125,24.735,14.55,9.7,50
"01/06/2027",53.35,12.125,24.735,14.55,9.7,50
"01/07/2027",53.35,12.125,24.735,14.55,9.7,50
"01/08/2027",53.35,12.125,24.735,14.55,9.7,50
"01/09/2027",53.35,12.125,24.735,14.55,9.7,50
"01/10/2027",53.35,12.125,24.735,14.55,9.7,50
"01/11/2027",53.35,12.125,24.735,14.55,9.7,50
"01/12/2027",53.35,12.125,24.735,14.55,9.7,50
"01/01/2028",53.35,12.125,24.735,14.55,9.7,50
"01/02/2028",53.35,12.125,24.735,14.55,9.7,50
"01/03/2028",53.35,12.125,24.735,14.55,9.7,50
"01/04/2028",53.35,12.125,24.735,14.55,9.7,50
"01/05/2028",53.35,12.125,24.735,14.55,9.7,50
"01/06/2028",52.8500000000001,12.125,24.735,14.55,9.7,50
"01/07/2028",50,12.025,24.835,14.55,9.7,50
"01/08/2028",50,11.455,25.405,14.55,9.7,50
"01/09/2028",50,11.455,25.405,14.55,9.7,50
"01/10/2028",50,11.455,25.405,14.55,9.7,50
"01/11/2028",50,11.455,25.405,14.55,9.7,50
"01/12/2028",50,11.455,25.405,14.55,9.7,50
"01/01/2029",50,11.455,25.405,14.55,9.7,50
"01/02/2029",50,11.455,25.405,14.55,9.7,50
"01/03/2029",50,11.455,25.405,14.55,9.7,50
"01/04/2029",50,11.455,25.405,14.55,9.7,50
