"date","Patients.waiting.for.New","Discharged","Patients.waiting.for.Consultant.Follow.Up.Intervention","Patients.waiting.for.Consultant.Follow.Up.Non.Intervention","Patients.waiting.for.Nurse.Follow.Up","Patients.waiting.for.Surgery"
"01/01/2026",96.65,0,0,53.14,25.45,2.3
"01/02/2026",93.3,31.678,0,55.08,46.235,1.247
"01/03/2026",89.95,77.656,0,57.02,49.145,3.769
"01/04/2026",86.6,123.634,0,58.96,52.055,6.291
"01/05/2026",83.25,169.612,0,60.9,54.965,8.813
"01/06/2026",79.9,215.59,0,62.84,57.875,11.335
"01/07/2026",76.55,261.568,0,64.78,60.785,13.857
"01/08/2026",73.2,307.546,0,66.72,63.695,16.379
"01/09/2026",69.8500000000001,353.524,0,68.66,66.605,18.901
"01/10/2026",66.5000000000001,399.502,0,70.6,69.515,21.423
"01/11/2026",63.1500000000001,445.48,0,72.54,72.425,23.945
"01/12/2026",59.8000000000001,491.458,0,74.48,75.335,26.467
"01/01/2027",56.4500000000001,537.436,0,76.42,78.245,28.989
"01/02/2027",53.1000000000001,583.414,0,78.36,81.155,31.511
"01/03/2027",49.7500000000001,629.392,0,80.3,84.065,34.033
"01/04/2027",46.4000000000001,675.37,0,82.24,86.975,36.555
"01/05/2027",43.0500000000001,721.348,0,84.18,89.885,39.077
"01/06/2027",39.7000000000001,767.326,0,86.12,92.795,41.599
"01/07/2027",36.3500000000001,813.304,0,88.06,95.705,44.121
"01/08/2027",33.0000000000001,859.282,0,90,98.615,46.643
"01/09/2027",29.6500000000001,905.26,0,91.94,101.525,49.165
"01/10/2027",26.3000000000001,951.238,0,93.88,104.435,51.687
"01/11/2027",22.9500000000001,997.216,0,95.82,107.345,54.209
"01/12/2027",19.6000000000001,1043.194,0,97.7599999999999,110.255,56.731
"01/01/2028",16.2500000000001,1089.172,0,99.6999999999999,113.165,59.253
"01/02/2028",12.9000000000001,1135.15,0,101.64,116.075,61.775
"01/03/2028",9.55000000000014,1181.128,0,103.58,118.985,64.297
"01/04/2028",6.20000000000014,1227.106,0,105.52,121.895,66.819
"01/05/2028",2.85000000000014,1273.084,0,107.46,124.805,69.341
"01/06/2028",0,1319.062,0,109.4,127.715,71.863
"01/07/2028",0,1364.94,0,110.99,130.575,74.385
"01/08/2028",0,1410.328,0,110.585,133.05,76.9269999999999
"01/09/2028",0,1456.172,0,110.18,134.955,79.5829999999999
"01/10/2028",0,1502.016,0,109.775,136.86,82.2389999999999
"01/11/2028",0,1547.86,0,109.37,138.765,84.8949999999999
"01/12/2028",0,1593.704,0,108.965,140.67,87.5509999999999
"01/01/2029",0,1639.548,0,108.56,142.575,90.2069999999999
"01/02/2029",0,1685.392,0,108.155,144.48,92.8629999999999
"01/03/2029",0,1731.236,0,107.75,146.385,95.5189999999999
"01/04/2029",0,1777.08,0,107.345,148.29,98.1749999999999
